club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto
FK Ufa,22.0,Vyacheslav Krotov,Centre-Forward,Spartak Moscow,3,0.5,3.658145568153308
Stoke City,22.0,Brek Shea,Left Midfield,Dallas,0,3.0,5.348812866373982
Brighton & Hove Albion,30.0,Markus Suttner,Left-Back,FC Ingolstadt,5,4.5,5.890309905838684
PEC Zwolle,21.0,Sam Kersten,Centre-Back,FC Den Bosch,7,0.4,3.0136126864669768
Athletic Bilbao,25.0,Álex Berenguer,Right Winger,Torino,8,12.0,6.357585168489779
Bayer 04 Leverkusen,28.0,Sven Bender,Defensive Midfield,Bor. Dortmund,5,12.5,12.882903822358696
Liverpool FC,25.0,Luis Díaz,Left Winger,FC Porto,9,47.0,40.805490836505776
Rotor Volgograd,24.0,Igor Obukhov,Goalkeeper,SKA Khabarovsk,8,0.11,4.34819007402502
Real Madrid,21.0,Casemiro,Defensive Midfield,São Paulo,1,6.0,27.297792848127248
Getafe CF,27.0,Leandro Cabrera,Centre-Back,Crotone,6,0.6,4.452111812310023
Olympique Marseille,20.0,Florian Thauvin,Right Winger,LOSC Lille,1,12.0,3.8315515442942454
Hull City,20.0,Andrew Robertson,Left-Back,Dundee United,2,3.6,5.0825229213368885
FK Rostov,21.0,Ayaz Guliev,Central Midfield,Spartak 2,6,0.5,3.055529905249858
Manchester City,31.0,Maicon,Right-Back,Inter,0,3.75,10.239749772562416
1.FSV Mainz 05,21.0,Abdou Diallo,Centre-Back,Monaco,5,5.0,4.60648638812512
Terek Grozny,25.0,Ismail Aissati,Attacking Midfield,Antalyaspor,1,3.3,2.0643987497326517
Swansea City,26.0,Leroy Fer,Defensive Midfield,QPR,4,5.6,9.717229264800785
US Salernitana 1919,23.0,Mikael,Centre-Forward,Sport Recife,10,2.73,4.861322044470205
Rayo Vallecano,21.0,Johan Mojica,Left-Back,Deportivo Cali,2,0.5,1.0685325405941744
Sevilla FC,26.0,Luis Muriel,Centre-Forward,Sampdoria,5,24.5,16.128037453955166
AS Nancy-Lorraine,27.0,Sergey Chernik,Goalkeeper,BATE Borisov,4,0.5,2.272236072819098
Angers SCO,22.0,Baptiste Guillaume,Centre-Forward,LOSC Lille,5,2.0,5.758769753157422
FK Krasnodar,23.0,Kaio,Centre-Back,Santa Clara,7,3.0,5.45776266275308
Twente Enschede FC,22.0,Torgeir Börven,Centre-Forward,Vålerenga,1,0.55,2.062128388533264
Eintracht Frankfurt,22.0,Haris Seferovic,Centre-Forward,Real Sociedad,2,3.2,5.4408103652427195
FC Toulouse,25.0,Óscar Trejo,Attacking Midfield,Sporting Gijón,1,2.1,4.116764157897404
RC Strasbourg Alsace,25.0,Idriss Saadi,Centre-Forward,Cardiff,5,1.5,5.0282448896242204
OGC Nice,21.0,Wylan Cyprien,Central Midfield,Lens,4,5.0,3.39864005434844
CA Osasuna,28.0,Jonás Ramalho,Centre-Back,Girona,9,0.7,3.2353851409523213
US Salernitana 1919,22.0,Éderson,Central Midfield,Corinthians,9,6.5,4.065865258409939
Real Madrid,23.0,Asier Illarramendi,Defensive Midfield,Real Sociedad,1,32.0,23.52051894189678
RB Leipzig,21.0,Ademola Lookman,Left Winger,Everton,7,18.0,20.040363532201805
Paris Saint-Germain,26.0,Edinson Cavani,Centre-Forward,SSC Napoli,1,64.5,24.24422478734048
Newcastle United,22.0,Jacob Murphy,Right Winger,Norwich,5,11.3,7.975782475706823
Spezia Calcio,22.0,Dimitrios Nikolaou,Centre-Back,FC Empoli,9,3.0,5.111234789468297
Bologna FC 1909,20.0,Lassi Lappalainen,Left Winger,HJK Helsinki,7,0.7,3.2067789147446626
Rubin Kazan,23.0,In-beom Hwang,Central Midfield,Vancouver,8,2.5,4.1326656871713
Olympique Marseille,22.0,Vitinha,Centre-Forward,SC Braga,10,32.0,6.6840990864542915
SPAL,21.0,Igor,Centre-Back,RB Salzburg,7,3.0,4.140690614237281
PEC Zwolle,22.0,Clint Leemans,Central Midfield,VVV-Venlo,6,0.35,4.582030432005001
Arsenal Tula,18.0,Lameck Banda,Right Winger,ZESCO United FC,7,0.25,2.9447507489076683
Manchester City,18.0,Filip Stevanovic,Left Winger,Partizan,8,8.5,15.088151913214382
SM Caen,29.0,Prince Oniangué,Defensive Midfield,Wolves,6,0.5,4.899159391015704
SC Braga,25.0,Tiago Esgaio,Right-Back,B SAD,9,0.3,3.0821977574560933
SL Benfica,23.0,Guillermo Celis,Defensive Midfield,Junior FC,4,2.3,3.9059375475527776
Stade Reims,26.0,Eliran Atar,Left Winger,M. Tel Aviv,1,1.5,2.860623490290446
Stade Reims,21.0,Kaj Sierhuis,Centre-Forward,Ajax U21,7,4.0,5.141814530793202
Bayern Munich,19.0,Fiete Arp,Centre-Forward,Hamburger SV,7,3.0,15.352933799317706
Granada CF,21.0,Jhon Córdoba,Centre-Forward,Chiapas FC,2,1.83,1.817673477649131
FC Internazionale,20.0,Francesco Bardi,Goalkeeper,AS Livorno,0,1.5,3.1011050843288612
AC Cesena,31.0,Federico Agliardi,Goalkeeper,Bologna,2,2.0,-0.5038382791516098
VfB Stuttgart,20.0,Pablo Maffeo,Right-Back,Man City,6,9.0,2.8095258015960125
Sporting CP,19.0,Ousmane Diomande,Centre-Back,FC Midtjylland,10,7.5,3.5392716173068304
Cagliari Calcio,29.0,Gregory van der Wiel,Right-Back,Fenerbahce,5,1.0,1.930333099991544
SpVgg Greuther Fürth,25.0,Jeremy Dudziak,Attacking Midfield,Hamburger SV,9,0.75,4.42838718057205
Spezia Calcio,29.0,Jeroen Zoet,Goalkeeper,PSV Eindhoven,8,1.5,4.530172567456513
Stade Rennais FC,27.0,Gaëtan Laborde,Centre-Forward,Montpellier,9,15.0,6.694631954925711
Bologna FC 1909,25.0,Michel Aebischer,Central Midfield,BSC Young Boys,10,4.0,3.381994319671546
Dynamo Moscow,21.0,Nicolás Marichal,Centre-Back,Nacional,10,4.2,5.360882566740782
Stade Rennais FC,22.0,Romain Del Castillo,Right Winger,Olympique Lyon,6,2.0,6.266297384640753
AS Saint-Étienne,24.0,Léo Lacroix,Centre-Back,FC Sion,4,3.0,3.3763930753090325
FC Groningen,27.0,Andraz Kirm,Central Midfield,Wisla Kraków,0,0.3,1.1910414600332082
Manchester City,21.0,Erling Haaland,Centre-Forward,Bor. Dortmund,10,60.0,42.82830560575931
LOSC Lille,22.0,Junior Tallo,Centre-Forward,AS Roma,3,1.0,7.04008037929503
AS Livorno,21.0,Saulo Decarli,Centre-Back,FC Chiasso,1,0.75,1.4547454550902421
Feyenoord Rotterdam,21.0,Harmeet Singh,Central Midfield,Vålerenga,0,0.6,0.901866838518133
Fulham FC,30.0,Bernd Leno,Goalkeeper,Arsenal,10,3.6,8.894302143049805
FC Metz,22.0,Ferjani Sassi,Central Midfield,CS Sfaxien,2,0.5,1.9845500540579657
Zenit St. Petersburg,24.0,Daler Kuzyaev,Central Midfield,Akhmat Grozny,5,4.0,7.1711451574515435
Lokomotiv Moscow,29.0,Grzegorz Krychowiak,Defensive Midfield,Paris SG,7,12.0,7.959021932652217
AS Roma,20.0,Giammario Piscitella,Left Winger,Pescara,1,1.5,5.169070080951764
FC Nantes,29.0,Oswaldo Vizcarrondo,Centre-Back,América,1,0.6,1.5730120476244946
UC Sampdoria,27.0,Manolo Gabbiadini,Centre-Forward,Southampton,6,11.9,8.205434715047922
SL Benfica,21.0,Pedro Nuno,Left Winger,Coimbra,4,0.4,3.136595782547523
Hertha BSC,24.0,Wilfried Kanga,Centre-Forward,BSC Young Boys,10,4.0,3.9903158806135264
OGC Nice,20.0,Allan Saint-Maximin,Left Winger,Monaco,5,10.0,7.313840811472824
Inter Milan,20.0,Federico Dimarco,Centre-Back,FC Sion,6,5.0,5.671055102022936
Dinamo Moscow,29.0,Mathieu Valbuena,Attacking Midfield,Marseille,2,7.0,3.489129417886102
Anzhi Makhachkala ( -2022),27.0,Ivan Maevskiy,Defensive Midfield,Zawisza,3,0.25,3.0667491219879732
SD Eibar,25.0,Paulo Oliveira,Centre-Back,Sporting CP,5,4.0,5.373875075294316
Hamburger SV,18.0,Rick van Drongelen,Centre-Back,Sparta R.,5,3.0,1.5673335425486044
Eintracht Frankfurt,23.0,Marius Wolf,Right Winger,Hannover 96,6,0.5,5.979918447843792
Queens Park Rangers,26.0,Loïc Rémy,Centre-Forward,Marseille,0,10.5,6.3623585069669915
SD Eibar,27.0,Alejandro Gálvez,Centre-Back,Werder Bremen,4,1.5,4.530331961220128
AC Milan,22.0,Mario Balotelli,Centre-Forward,Man City,0,20.0,6.215686038357288
Tottenham Hotspur,25.0,Pierre-Emile Höjbjerg,Central Midfield,Southampton,8,16.6,21.455810493848585
AC Cesena,22.0,Zé Eduardo,Defensive Midfield,Parma,2,0.3,2.4190645644046227
FK Rostov,22.0,Roman Tugarev,Left Winger,Loko Moscow,8,0.168,4.152334051054762
Watford FC,18.0,Ben Wilmot,Centre-Back,Stevenage,6,1.7,6.884731628983937
AC Milan,25.0,Giacomo Bonaventura,Central Midfield,Atalanta BC,2,5.3,9.459649463261318
Huddersfield Town,29.0,Jonas Lössl,Goalkeeper,1.FSV Mainz 05,6,2.5,7.924900897641826
Amiens SC,25.0,Eddy Gnahoré,Central Midfield,Palermo,7,2.5,5.498972687851896
AC Milan,25.0,Diego Laxalt,Left-Back,Genoa,6,19.0,10.01371409466945
Arsenal FC,31.0,Jorginho,Defensive Midfield,Chelsea,10,11.3,23.765432869965544
Ajax Amsterdam,27.0,Davy Klaassen,Attacking Midfield,Werder Bremen,8,11.7,4.803598380043455
SL Benfica,27.0,Soualiho Meïté,Central Midfield,Torino,9,6.0,6.518064348519663
Cádiz CF,31.0,Rubén Alcaraz,Central Midfield,Real Valladolid,10,1.0,1.7855218052822293
Villarreal CF,21.0,Aleksandar Pantic,Centre-Back,Red Star,1,0.3,4.616333773895465
Spartak Moscow,31.0,João Carlos,Centre-Back,Anzhi,1,0.75,0.631481436572279
AS Monaco,20.0,Myron Boadu,Centre-Forward,AZ Alkmaar,9,17.0,8.53516082699743
RC Lens,21.0,Facundo Medina,Centre-Back,CA Talleres,8,3.5,4.675130003425656
Liverpool FC,24.0,Christian Benteke,Centre-Forward,Aston Villa,3,46.5,24.2409204058725
Atalanta BC,30.0,Mauricio Pinilla,Centre-Forward,Genoa,3,2.0,4.93254602731102
Swansea City,27.0,Éder,Centre-Forward,SC Braga,3,6.7,10.802997950670866
UC Sampdoria,19.0,Matteo Stoppa,Second Striker,Juventus,8,1.0,9.3043978206698
FC Lorient,22.0,Ibrahima Koné,Centre-Forward,Sarpsborg 08,9,4.0,5.051329678062014
Anzhi Makhachkala ( -2022),24.0,Bernard Berisha,Left Winger,KF Skënderbeu,3,0.25,2.7017673158341196
UC Sampdoria,20.0,Ronaldo Vieira,Central Midfield,Leeds,6,7.1,3.8536764995655357
Real Madrid,26.0,Thibaut Courtois,Goalkeeper,Chelsea,6,35.0,67.16348631585092
Hellas Verona,25.0,Giangiacomo Magnani,Centre-Back,Sassuolo,9,4.0,7.127938285379257
AS Roma,18.0,Nicolò Zaniolo,Right Winger,Inter,6,4.5,9.157984168012671
SC Freiburg,26.0,Daniel-Kofi Kyereh,Attacking Midfield,FC St. Pauli,10,4.5,12.839981922460149
FC Nantes,23.0,Lucas Evangelista,Central Midfield,Udinese Calcio,6,3.0,5.3107618886146115
Spartak Moscow,26.0,Denis Glushakov,Central Midfield,Loko Moscow,1,8.0,2.642532924703573
Real Sociedad,23.0,Juanmi,Left Winger,Southampton,4,5.0,7.649459585387185
Real Betis Balompié,31.0,Foued Kadir,Attacking Midfield,Marseille,3,0.6,2.0408119554526856
FC Augsburg,19.0,Arne Engels,Central Midfield,Club NXT,10,0.1,5.201276357419868
Vitesse Arnhem,21.0,Nikolai Baden Frederiksen,Centre-Forward,Juventus U23,9,1.83,6.516323014808077
1.FSV Mainz 05,18.0,Marin Sverko,Centre-Back,Karlsruhe U19,4,0.06,1.562850033097094
Tottenham Hotspur,23.0,Nacer Chadli,Left Winger,Twente FC,1,8.15,11.799108473842663
PSV Eindhoven,19.0,Adam Maher,Defensive Midfield,AZ Alkmaar,1,8.0,2.4017860723375
Levante UD,24.0,Deyverson,Centre-Forward,Belenenses,3,1.8,4.2148939145945095
Bayer 04 Leverkusen,19.0,Jonathan Tah,Centre-Back,Hamburger SV,3,7.5,5.435041910855213
Everton FC,27.0,Morgan Schneiderlin,Defensive Midfield,Man Utd,4,23.0,11.088701526036427
VfL Wolfsburg,31.0,Dante,Centre-Back,Bayern Munich,3,4.5,2.859630846737442
AS Roma,21.0,Amadou Diawara,Defensive Midfield,SSC Napoli,7,21.0,12.381717129055925
West Ham United,28.0,Andriy Yarmolenko,Right Winger,Bor. Dortmund,6,20.0,15.760429422837325
Nottingham Forest,21.0,Neco Williams,Right-Back,Liverpool,10,20.0,10.806728312321125
Sevilla FC,23.0,Vitolo,Left Winger,UD Las Palmas,1,3.2,8.053334618802456
FC Sochi,21.0,Moussa Sissako,Centre-Back,Standard Liège,10,0.3,3.1651128058500473
Deportivo de La Coruña,23.0,Florin Andone,Centre-Forward,Córdoba CF,4,5.7,4.021667187026463
PEC Zwolle,22.0,Kenneth Paal,Left-Back,PSV Eindhoven,7,0.35,3.7241254970763515
Bologna FC 1909,34.0,Sergio Floccari,Centre-Forward,Sassuolo,3,0.5,2.349535467941817
Chelsea FC,16.0,Ethan Ampadu,Centre-Back,Exeter City,5,2.8,33.370507799169836
CF Os Belenenses,22.0,Deyverson,Centre-Forward,Benfica B,1,1.0,2.131038917250188
LOSC Lille,25.0,Thiago Mendes,Defensive Midfield,São Paulo,5,9.0,4.888324232560077
SL Benfica,23.0,Jhonder Cádiz,Centre-Forward,Vitória Setúbal,7,2.5,5.797025892233791
FC Toulouse,20.0,Aaron Leya Iseka,Centre-Forward,RSC Anderlecht,6,1.25,4.6412904713401515
Chievo Verona,23.0,Dejan Lazarevic,Right Winger,Genoa,1,1.5,1.745658113354659
Borussia Mönchengladbach,22.0,Thorgan Hazard,Left Winger,Chelsea,3,8.0,12.929157559911175
Southampton FC,19.0,Sékou Mara,Centre-Forward,G. Bordeaux,10,13.0,12.767212391901289
US Palermo,22.0,Achraf Lazaar,Left-Back,Varese,2,0.7,1.6464386684655974
Swansea City,26.0,Marvin Emnes,Centre-Forward,Middlesbrough,2,1.7,9.63634915584254
SPAL,27.0,Bartosz Salamon,Centre-Back,Cagliari Calcio,6,2.0,5.099551211227476
SL Benfica,29.0,Lima,Centre-Forward,SC Braga,0,4.0,3.520324908517313
Manchester United,26.0,Harry Maguire,Centre-Back,Leicester,7,87.0,32.06857623230431
Tottenham Hotspur,19.0,Ryan Sessegnon,Left Midfield,Fulham,7,27.0,18.547826479926695
Stade Rennais FC,25.0,Philipp Hosiner,Centre-Forward,Austria Vienna,2,1.9,3.0459309043552976
TSG 1899 Hoffenheim,22.0,Ozan Kabak,Centre-Back,FC Schalke 04,10,5.0,6.006799949757315
Olympique Marseille,28.0,Samuel Gigot,Centre-Back,Spartak Moscow,9,0.5,5.739466117787996
Aston Villa,27.0,Ron Vlaar,Centre-Back,Feyenoord,0,3.8,8.945537947530585
Newcastle United,20.0,Massadio Haidara,Left-Back,AS Nancy,0,2.5,3.951046242639813
FC Sochi,26.0,Artem Makarchuk,Left-Back,Baltika,9,0.115,2.2040485024077707
Newcastle United,20.0,Aleksandar Mitrović,Centre-Forward,RSC Anderlecht,3,18.5,6.18825548532497
Udinese Calcio,24.0,William Troost-Ekong,Centre-Back,Bursaspor,6,3.3,4.514818829289222
Parma Calcio 1913,29.0,Luigi Sepe,Goalkeeper,SSC Napoli,8,4.58,4.023601995485503
FK Rostov,22.0,Daniil Utkin,Central Midfield,Krasnodar,10,3.0,4.618567787419908
Fortuna Sittard,30.0,Ben Rienstra,Central Midfield,Kayserispor,8,0.15,1.6825155100699132
FC Augsburg,24.0,Carlos Gruezo,Defensive Midfield,Dallas,7,4.0,6.021405300232572
West Ham United,25.0,Lucas Paquetá,Attacking Midfield,Olympique Lyon,10,42.95,16.476880035068046
Everton FC,26.0,Cenk Tosun,Centre-Forward,Besiktas,5,22.5,14.275407141776743
Elche CF,27.0,Emiliano Rigoni,Right Winger,Zenit S-Pb,8,0.1,3.403758883881002
FC Sochi,24.0,Elmir Nabiullin,Left-Back,Zenit S-Pb,7,3.0,2.7558921080776417
Ajax Amsterdam,23.0,Tobias Sana,Left Winger,IFK Göteborg,0,0.32,1.8391644265686518
OGC Nice,21.0,Jordan Lotomba,Right-Back,BSC Young Boys,8,7.0,3.6354772341978445
Real Madrid,23.0,Álvaro Morata,Centre-Forward,Juventus,4,30.0,67.22048853228853
Hellas Verona,27.0,Davide Faraoni,Right-Back,Crotone,7,0.3,3.4882901994703563
Torino FC,32.0,Cristian Ansaldi,Left-Back,Inter,7,2.5,5.466753917901784
FC Nantes,29.0,Nicolas Pallois,Centre-Back,G. Bordeaux,5,2.0,3.44730074552921
TSG 1899 Hoffenheim,19.0,Filip Malbasic,Right Winger,Rad,0,1.2,1.3521489429207572
Valencia CF,22.0,Hugo Duro,Centre-Forward,Getafe,10,4.0,5.705585396965864
SPAL 2013,35.0,Marco Borriello,Centre-Forward,Cagliari Calcio,5,1.0,2.477979064265144
VfB Stuttgart,17.0,Roberto Massimo,Right Midfield,Bielefeld U19,6,2.5,2.760638876854124
Chelsea FC,19.0,Malo Gusto,Right-Back,Olympique Lyon,10,30.0,25.12687517227933
UD Almería,32.0,Diego Mariño,Goalkeeper,Sporting Gijón,10,0.08,0.9913346256996222
Valencia CF,26.0,Fernando Gago,Defensive Midfield,Real Madrid,0,3.5,10.517741387679225
Paris Saint-Germain,26.0,Grzegorz Krychowiak,Defensive Midfield,Sevilla FC,4,27.5,27.19419439291941
Montpellier HSC,26.0,Benjamin Lecomte,Goalkeeper,FC Lorient,5,2.5,4.6230070147153235
PSV Eindhoven,25.0,Przemyslaw Tyton,Goalkeeper,Roda JC,0,2.5,0.9757964304101221
AC Cesena,35.0,Franco Brienza,Attacking Midfield,Atalanta BC,2,0.1,2.1454455672170005
Levante UD,25.0,Xavi Torres,Defensive Midfield,Málaga CF,0,0.3,3.513378135677065
FC Lorient,23.0,Alain Traoré,Attacking Midfield,AJ Auxerre,0,5.0,2.968613340449789
TSG 1899 Hoffenheim,27.0,Havard Nordtveit,Centre-Back,West Ham,5,8.0,3.0653452797940117
CA Osasuna,27.0,Sergio León,Centre-Forward,Elche CF,4,1.7,4.009925974429781
Manchester United,27.0,Alex Telles,Left-Back,FC Porto,8,15.0,33.92382883611274
US Palermo,20.0,Andrea Belotti,Centre-Forward,UC AlbinoLeffe,2,5.5,2.426747992136033
Chelsea FC,21.0,Christian Atsu,Left Winger,FC Porto,1,3.0,23.429056009096996
FC Porto,20.0,Diego Reyes,Centre-Back,América,1,7.0,1.249691234978751
Parma FC,24.0,Andrea Rossini,Goalkeeper,Cesena,2,1.6,1.1887824156053328
West Ham United,21.0,Frederik Alves,Centre-Back,Silkeborg IF,8,1.6,10.501656183563313
Hannover 96,20.0,Marius Wolf,Right Winger,1860 Munich,3,1.5,0.5139309900534812
FC Metz,28.0,Sergey Krivets,Attacking Midfield,BATE Borisov,2,1.0,1.7532789093995094
FC Toulouse,23.0,François Moubandje,Left-Back,Servette FC,1,1.0,1.6139913545209996
Granada CF,22.0,Rui Silva,Goalkeeper,Nacional,4,1.0,3.4895559585563687
Hellas Verona,32.0,Nikola Kalinic,Centre-Forward,Atlético Madrid,8,1.8,8.062486240136646
SM Caen,25.0,Baissama Sankoh,Defensive Midfield,Guingamp,5,0.5,6.0658430700552355
Torpedo Moscow,23.0,Mario Curic,Defensive Midfield,HNK Sibenik,10,0.4,4.352123432329989
FC Internazionale,28.0,Matías Silvestre,Centre-Back,US Palermo,1,6.0,6.134050012629313
Ajax Amsterdam,20.0,Antony,Right Winger,São Paulo,8,15.75,3.9978488123165263
Villarreal CF,21.0,Javi Ontiveros,Left Winger,Málaga CF,7,7.5,8.74343894591429
US Sassuolo,24.0,Abdou Harroui,Central Midfield,Sparta R.,10,3.0,8.120641605249432
Bologna FC 1909,19.0,Andreas Skov Olsen,Right Midfield,Nordsjaelland,7,6.0,2.227480938172301
Leeds United,24.0,Robin Koch,Centre-Back,SC Freiburg,8,13.0,11.840789819054852
FC Toulouse,22.0,Martin Braithwaite,Centre-Forward,Esbjerg fB,1,2.0,2.504842048197741
Lokomotiv Moscow,21.0,Konstantin Maradishvili,Defensive Midfield,CSKA Moscow,9,7.0,5.21993604185141
Aston Villa,23.0,Matthew Lowton,Right-Back,Sheff Utd,0,3.75,4.88022496953788
Huddersfield Town,25.0,Tom Ince,Right Winger,Derby,5,9.1,7.346060793787576
UC Sampdoria,26.0,Renan,Defensive Midfield,CFR Cluj,0,3.2,2.632231096537474
1.FSV Mainz 05,21.0,Jairo Samperio,Left Winger,Sevilla FC,2,2.2,5.348538894258743
Valencia CF,24.0,Rodrigo,Second Striker,Benfica,3,30.0,6.30527909700904
Sporting CP,24.0,Cristiano Piccini,Right-Back,Real Betis,5,2.87,3.0766328428583996
Crystal Palace,19.0,Luke Plange,Centre-Forward,Derby,9,1.18,7.303220251939515
Spartak Moscow,24.0,Aleksandr Tashaev,Right Winger,Dinamo Moscow,6,1.5,5.52969991092709
Torino FC,20.0,Lyanco,Centre-Back,São Paulo,5,7.75,3.421966545249889
1.FC Nuremberg,21.0,Muhammed Ildiz,Central Midfield,Rapid Vienna,0,0.5,1.2526118660541732
Real Betis Balompié,27.0,Marc Bartra,Centre-Back,Bor. Dortmund,5,10.5,6.098914120866556
Manchester City,23.0,Aymeric Laporte,Centre-Back,Athletic,5,65.0,23.460955272129922
Juventus FC,24.0,Arthur,Defensive Midfield,Barcelona,8,76.0,23.642707564415016
AS Monaco,19.0,Tiemoué Bakayoko,Defensive Midfield,Stade Rennais,2,8.0,7.724048586350649
Spartak Moscow,20.0,Daniil Khlusevich,Right Midfield,Arsenal Tula,9,3.0,4.529234679200233
SC Heerenveen,23.0,Jukka Raitala,Left-Back,TSG Hoffenheim,0,0.8,1.8809854174425262
Dijon FCO,22.0,Nayef Aguerd,Centre-Back,FUS Rabat,6,1.6,4.261469004893167
Atalanta BC,21.0,Gaetano Monachello,Centre-Forward,Monaco,3,0.5,7.2775553453809705
VVV-Venlo,22.0,Kristopher Da Graca,Centre-Back,IFK Göteborg,8,0.16,3.4509620312296554
Arsenal FC,25.0,David Ospina,Goalkeeper,OGC Nice,2,4.0,13.885854212897254
SD Eibar,29.0,Quique González,Centre-Forward,Dep. La Coruña,7,3.3,3.9474309774069742
Torino FC,24.0,Antonio Sanabria,Centre-Forward,Real Betis,8,6.5,4.87057598791603
West Bromwich Albion,25.0,Matt Phillips,Right Winger,QPR,4,6.5,7.246231375735249
Eintracht Frankfurt,28.0,Sebastian Rode,Central Midfield,Bor. Dortmund,7,4.0,7.14073793003783
FK Rostov,20.0,Magnus Knudsen,Central Midfield,Lillestrøm,9,1.0,3.0836006250302814
Borussia Mönchengladbach,18.0,Julio Villalba,Centre-Forward,Cerro Porteño,4,1.25,4.8276881214992695
SC Freiburg,31.0,Sascha Riether,Right-Back,Fulham,2,0.35,-0.6554757789800357
Hellas Verona,24.0,Mariusz Stepinski,Centre-Forward,Chievo Verona,7,3.5,5.115409724399006
Torino FC,30.0,Cesare Bovo,Centre-Back,Genoa,1,0.8,1.9284475142949755
Stade Rennais FC,25.0,Kermit Erasmus,Centre-Forward,Orlando Pirates,3,0.64,3.2927137784968026
AC Siena,24.0,Luís Neto,Centre-Back,Nacional,0,3.65,3.963437303439877
Eintracht Frankfurt,25.0,Vadim Demidov,Centre-Back,Real Sociedad,0,0.5,3.8215724115226037
Manchester United,19.0,Anthony Martial,Centre-Forward,Monaco,3,60.0,27.103608110518877
Bayern Munich,17.0,Mathys Tel,Centre-Forward,Stade Rennais,10,20.0,20.967752131961245
Chelsea FC,20.0,Oscar,Attacking Midfield,Internacional,0,32.0,18.73500618330779
FC Utrecht,21.0,Sébastien Haller,Centre-Forward,AJ Auxerre,3,0.75,2.6122852033912576
Krylya Sovetov Samara,31.0,Benoît Angbwa,Right-Back,Rostov,0,1.0,-1.0746934188775907
SS Lazio,22.0,Andreas Karo,Centre-Back,Apol. Limassol,7,0.165,4.165049989096969
Burnley FC,33.0,Jonathan Walters,Right Winger,Stoke City,5,2.3,5.5222143714028
SM Caen,29.0,Malik Tchokounté,Centre-Forward,Paris FC,6,0.25,5.310002493769183
Bayern Munich,22.0,Matthijs de Ligt,Centre-Back,Juventus,10,67.0,43.39569204009748
Hertha BSC,25.0,Julian Schieber,Centre-Forward,Bor. Dortmund,2,2.5,3.338199264002971
NAC Breda,23.0,Menno Koch,Centre-Back,PSV Eindhoven,5,0.1,3.8449134615414353
Swansea City,23.0,Borja Bastón,Centre-Forward,Atlético Madrid,4,18.0,13.528210644540719
Southampton FC,20.0,Paulo Gazzaniga,Goalkeeper,Gillingham FC,0,3.15,4.801285556345995
Southampton FC,20.0,Kamaldeen Sulemana,Left Winger,Rennes,10,25.0,14.469622712103076
AS Roma,20.0,Ismail H'Maidat,Central Midfield,Brescia,3,3.15,4.93679643067153
Ajax Amsterdam,33.0,Diederik Boer,Goalkeeper,PEC Zwolle,2,1.0,0.3178863385619248
Hull City,25.0,Ryan Mason,Central Midfield,Spurs,4,15.4,7.78641331711409
Nîmes Olympique,21.0,Yassine Benrahou,Attacking Midfield,G. Bordeaux,8,1.5,4.670702039973797
Chelsea FC,23.0,Marko Marin,Attacking Midfield,Werder Bremen,0,8.0,16.05398548661471
Málaga CF,21.0,Federico Ricca,Left-Back,Danubio FC,3,2.5,0.7756701241894167
AS Saint-Étienne,21.0,Ole Selnaes,Defensive Midfield,Rosenborg,3,3.2,2.6425432296066167
Málaga CF,28.0,Nordin Amrabat,Right Winger,Galatasaray,3,3.5,2.7603974425659414
Sporting CP,20.0,Bruno Paulista,Defensive Midfield,EC Bahia,4,3.5,3.1962324593045133
FC Lorient,21.0,Terem Moffi,Centre-Forward,KV Kortrijk,8,8.0,4.481900393298279
Manchester City,21.0,Sergio Gómez,Left-Back,RSC Anderlecht,10,13.0,23.404509180855754
Watford FC,30.0,Younès Kaboul,Centre-Back,Sunderland,4,4.0,6.736896350769769
Spartak Moscow,22.0,Ayaz Guliev,Central Midfield,Rostov,6,1.0,4.30494921577354
Chelsea FC,29.0,David Luiz,Centre-Back,Paris SG,4,35.0,18.888520383191516
US Sassuolo,20.0,Emil Konradsen Ceide,Left Winger,Rosenborg,10,3.0,7.945426200322551
Paris Saint-Germain,19.0,Lucas Digne,Left-Back,LOSC Lille,1,15.0,20.324004374722495
UC Sampdoria,20.0,Lorenco Simic,Centre-Back,Hajduk Split,4,1.5,2.9991161697031377
Eintracht Frankfurt,18.0,Evan Ndicka,Centre-Back,AJ Auxerre,6,5.5,6.1010447186409404
Olympique Marseille,21.0,Bamba Dieng,Centre-Forward,Diambars FC,9,0.4,5.442863811983531
OGC Nice,20.0,Amine Gouiri,Centre-Forward,Olympique Lyon,8,7.0,6.687225890547283
SD Eibar,28.0,Yoel Rodríguez,Goalkeeper,Valencia,5,0.75,3.8790634013888394
Elche CF,28.0,Johan Mojica,Left-Back,Girona,9,1.2,2.643801077928624
Sevilla FC,24.0,Pablo Sarabia,Right Winger,Getafe,4,1.0,8.239109176238994
FC Girondins Bordeaux,29.0,Jérémy Ménez,Right Winger,AC Milan,4,2.85,5.786091976389572
RC Strasbourg Alsace,18.0,Ismaël Doukouré,Centre-Back,Valenciennes FC,9,1.5,5.751444347616309
Atlético de Madrid,28.0,Jackson Martínez,Centre-Forward,FC Porto,3,35.0,13.388650304296387
AC Milan,31.0,Alessandro Florenzi,Right-Back,AS Roma,10,2.7,5.27476820696097
