club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto
Newcastle United,31.0,Kieran Trippier,Right-Back,Atlético Madrid,9,30.0,7.367231431580126
Newcastle United,27.0,Mathieu Debuchy,Right-Back,LOSC Lille,0,6.2,5.988203522917207
Akhmat Grozny,27.0,Milos Satara,Centre-Back,Soligorsk,10,0.35,3.3582656444310706
FC Crotone,24.0,Federico Ceccherini,Centre-Back,AS Livorno,4,0.9,3.338766449922817
AS Monaco,36.0,Naldo,Centre-Back,FC Schalke 04,6,2.0,8.681718449840874
Crystal Palace,26.0,Fraizer Campbell,Centre-Forward,Cardiff,2,1.14,5.441551831458639
Bologna FC 1909,21.0,Ádám Nagy,Defensive Midfield,Ferencváros,4,1.8,2.4871168399072645
Queens Park Rangers,22.0,Jordon Mutch,Central Midfield,Cardiff,2,7.57,5.47104517127043
Montpellier HSC,27.0,Jordan Ferri,Central Midfield,Olympique Lyon,7,2.0,5.9438101369614085
TSG 1899 Hoffenheim,24.0,Kevin Vogt,Centre-Back,1. FC Köln,4,3.0,3.169294424030694
West Ham United,24.0,Diafra Sakho,Centre-Forward,FC Metz,2,5.0,11.371226590998452
Olympique Marseille,26.0,Luan Peres,Centre-Back,Santos FC,9,4.5,5.1658128868590145
Celta de Vigo,27.0,Franco Cervi,Left Winger,Benfica,9,4.0,5.62036448127745
US Sassuolo,20.0,Pietro Cianci,Centre-Forward,Andria,4,0.02,3.998025277158459
Real Sociedad,24.0,Willian José,Centre-Forward,Maldonado,4,6.0,5.232986965394103
PSV Eindhoven,29.0,Stijn Schaars,Defensive Midfield,Sporting CP,1,0.85,2.4841750913698966
Paris Saint-Germain,24.0,Renato Sanches,Central Midfield,LOSC Lille,10,15.0,33.60828159915869
FC Porto,25.0,Fernando Andrade,Second Striker,Santa Clara,6,1.5,4.57862110285109
Levante UD,29.0,Mitchell Langerak,Goalkeeper,VfB Stuttgart,5,0.6,5.474373567564654
Crystal Palace,23.0,Barry Bannan,Central Midfield,Aston Villa,1,2.1,6.916577772325513
