club_home_name,club_away_name,name22,competition_id,round,season,home_club_goals,away_club_goals,away_club_id,home_club_id,game_id,peso round,Overall_home,Overall_away,Overall_league,Overall_Match_Home,Overall_Match_Away
Athletic Bilbao,Us Sassuolo,Sassuolo,EL,Group F,2016,3,2,6574,621,2765908,1.0,0.3369489740297157,0.2501645911767107,0.39,0.015456356584756586,0.011418453868907405
Fc Villarreal,Sivasspor,Sivasspor,EL,group I,2020,5,3,2381,1050,3462273,1.0,0.5378494078984494,0.2097592837774209,0.39,0.021527329221081512,0.01638561329862781
Fc Villarreal,Sivasspor,Sivasspor,EL,group I,2020,5,3,2381,1050,3462273,1.0,0.3556700785077939,0.2097592837774209,0.39,0.014636118578338015,0.010747350045474035
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,32. Matchday,2012,1,1,27,16,2231680,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.056524629756493784,0.056524629756493784
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,13. Matchday,2013,0,3,27,16,2321162,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,27. Matchday,2014,0,1,27,16,2460860,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,25. Matchday,2015,0,0,27,16,2581903,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.056524629756493784,0.056524629756493784
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,11. Matchday,2016,1,0,27,16,2704331,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.06285230356738454,0.050196955945603014
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,11. Matchday,2017,1,3,27,16,2871953,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,11. Matchday,2018,3,2,27,16,3058506,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.06285230356738454,0.050196955945603014
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,28. Matchday,2019,0,1,27,16,3203676,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,7. Matchday,2020,2,3,27,16,3412991,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,14. Matchday,2021,2,3,27,16,3588337,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.050196955945603014,0.06285230356738454
