age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
22.0,0.225,2.5706875,EA Guingamp,Lebogang Phiri,Central Midfield,Bröndby IF,2017/2018
24.0,4.9,15.350798,Tottenham Hotspur,Kieran Trippier,Right-Back,Burnley,2015/2016
27.0,0.4,2.742226,Vitesse Arnhem,Tomas Hajek,Centre-Back,Viktoria Plzen,2019/2020
18.0,0.3,3.011728,Spartak Moscow,Nail Umyarov,Defensive Midfield,Chertanovo,2018/2019
30.0,22.5,12.584678,AC Milan,Nikola Kalinic,Centre-Forward,Fiorentina,2018/2019
21.0,3.4,0.960484,Parma FC,Alessandro Iacobucci,Goalkeeper,Siena,2012/2013
23.0,14.0,6.012436,ACF Fiorentina,Arthur Cabral,Centre-Forward,FC Basel,2021/2022
19.0,0.15,1.5817721,Rubin Kazan,Rifat Zhemaletdinov,Attacking Midfield,Loko Moscow II,2016/2017
20.0,22.7,12.19189,AFC Bournemouth,Ilya Zabarnyi,Centre-Back,Dynamo Kyiv,2022/2023
25.0,5.5,3.239412,Dinamo Moscow,Alexander Büttner,Left-Back,Man Utd,2014/2015
30.0,4.0,3.2517455,Benevento Calcio,Gianluca Lapadula,Centre-Forward,Genoa,2020/2021
23.0,2.75,2.2003348,Sporting CP,Josip Misic,Central Midfield,HNK Rijeka,2017/2018
30.0,4.5,5.1620927,US Sassuolo,Federico Peluso,Left-Back,Juventus,2014/2015
26.0,0.3,0.58929026,NEC Nijmegen,Lasse Nielsen,Centre-Back,Aalborg BK,2013/2014
21.0,0.4,1.9903872,GD Estoril Praia,Léo Bonatini,Centre-Forward,Cruzeiro,2015/2016
26.0,1.0,1.4821315,Hellas Verona,Lorenzo Montipò,Goalkeeper,Benevento,2022/2023
22.0,10.0,11.85984,Huddersfield Town,Adama Diakhaby,Left Winger,Monaco,2018/2019
29.0,4.8,4.204288,VfL Wolfsburg,Naldo,Centre-Back,Werder Bremen,2012/2013
